time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-24 00:00:00+00:00,0,0,9,8
2024-12-25 00:00:00+00:00,0,0,3,3
2024-12-26 00:00:00+00:00,0,0,4,3
2024-12-27 00:00:00+00:00,0,0,25,10
2024-12-28 00:00:00+00:00,0,0,16,5
2024-12-29 00:00:00+00:00,1,1,2,2
2024-12-30 00:00:00+00:00,0,0,6,4
2024-12-31 00:00:00+00:00,0,0,13,4
2025-01-01 00:00:00+00:00,0,0,3,3
2025-01-02 00:00:00+00:00,0,0,35,12
2025-01-03 00:00:00+00:00,0,0,33,7
2025-01-04 00:00:00+00:00,1,1,2,2
2025-01-05 00:00:00+00:00,0,0,7,2
2025-01-06 00:00:00+00:00,1,1,44,13
2025-01-07 00:00:00+00:00,1,1,12,6
2025-01-08 00:00:00+00:00,0,0,15,11
2025-01-09 00:00:00+00:00,0,0,18,9
2025-01-10 00:00:00+00:00,0,0,5,5
2025-01-11 00:00:00+00:00,0,0,3,3
2025-01-12 00:00:00+00:00,1,1,3,3
2025-01-13 00:00:00+00:00,0,0,16,11
2025-01-14 00:00:00+00:00,2,2,21,11
2025-01-15 00:00:00+00:00,0,0,20,10
2025-01-16 00:00:00+00:00,0,0,23,12
2025-01-17 00:00:00+00:00,0,0,24,12
2025-01-18 00:00:00+00:00,0,0,13,5
2025-01-19 00:00:00+00:00,0,0,4,4
2025-01-20 00:00:00+00:00,0,0,8,7
2025-01-21 00:00:00+00:00,1,1,20,15
2025-01-22 00:00:00+00:00,0,0,57,17
2025-01-23 00:00:00+00:00,0,0,16,14
2025-01-24 00:00:00+00:00,0,0,19,11
2025-01-25 00:00:00+00:00,0,0,27,7
2025-01-26 00:00:00+00:00,0,0,16,8
2025-01-27 00:00:00+00:00,0,0,29,16
2025-01-28 00:00:00+00:00,0,0,29,12
2025-01-29 00:00:00+00:00,0,0,14,7
2025-01-30 00:00:00+00:00,0,0,9,8
2025-01-31 00:00:00+00:00,0,0,11,7
2025-02-01 00:00:00+00:00,0,0,3,3
2025-02-02 00:00:00+00:00,0,0,2,1
2025-02-03 00:00:00+00:00,0,0,13,9
2025-02-04 00:00:00+00:00,0,0,15,10
2025-02-05 00:00:00+00:00,2,2,25,12
2025-02-06 00:00:00+00:00,0,0,19,11
2025-02-07 00:00:00+00:00,0,0,15,9
2025-02-09 00:00:00+00:00,0,0,4,4
2025-02-10 00:00:00+00:00,0,0,11,8
2025-02-11 00:00:00+00:00,0,0,13,11
2025-02-12 00:00:00+00:00,0,0,27,17
2025-02-13 00:00:00+00:00,3,2,22,12
2025-02-14 00:00:00+00:00,0,0,11,9
2025-02-15 00:00:00+00:00,0,0,6,5
2025-02-16 00:00:00+00:00,0,0,2,2
2025-02-17 00:00:00+00:00,0,0,18,13
2025-02-18 00:00:00+00:00,0,0,21,11
2025-02-19 00:00:00+00:00,0,0,28,17
2025-02-20 00:00:00+00:00,1,1,20,14
2025-02-21 00:00:00+00:00,2,2,6,6
2025-02-22 00:00:00+00:00,0,0,3,2
2025-02-23 00:00:00+00:00,0,0,2,1
2025-02-24 00:00:00+00:00,1,1,3,3
2025-02-25 00:00:00+00:00,3,2,10,9
2025-02-26 00:00:00+00:00,1,1,19,13
