time_iso8601,stars_cumulative
2022-04-25 00:00:00+00:00,81
2022-04-29 00:00:00+00:00,82
2022-05-17 00:00:00+00:00,83
2022-05-24 00:00:00+00:00,85
2022-05-28 00:00:00+00:00,86
2022-06-29 00:00:00+00:00,87
2022-07-13 00:00:00+00:00,88
2022-08-12 00:00:00+00:00,89
2022-08-16 00:00:00+00:00,90
2022-08-17 00:00:00+00:00,91
2022-08-27 00:00:00+00:00,92
2022-09-04 00:00:00+00:00,93
2022-09-14 00:00:00+00:00,94
2022-10-06 00:00:00+00:00,95
2022-10-18 00:00:00+00:00,96
2022-10-20 00:00:00+00:00,97
2022-12-26 00:00:00+00:00,98
2023-01-30 00:00:00+00:00,99
2023-02-06 00:00:00+00:00,100
2023-02-10 00:00:00+00:00,101
2023-02-28 00:00:00+00:00,102
2023-03-13 00:00:00+00:00,103
2023-03-17 00:00:00+00:00,104
2023-03-29 00:00:00+00:00,105
2023-04-17 00:00:00+00:00,106
2023-05-10 00:00:00+00:00,107
2023-05-22 00:00:00+00:00,108
2023-05-25 00:00:00+00:00,109
2023-06-16 00:00:00+00:00,110
2023-07-16 00:00:00+00:00,111
2023-07-17 00:00:00+00:00,112
2023-07-25 00:00:00+00:00,113
2023-08-19 00:00:00+00:00,114
2023-08-25 00:00:00+00:00,115
2023-08-29 00:00:00+00:00,116
2023-08-31 00:00:00+00:00,118
2023-09-16 00:00:00+00:00,119
2023-09-27 00:00:00+00:00,120
2023-09-28 00:00:00+00:00,121
2023-10-13 00:00:00+00:00,122
2023-10-22 00:00:00+00:00,123
2023-12-17 00:00:00+00:00,124
2024-01-05 00:00:00+00:00,125
2024-01-11 00:00:00+00:00,126
2024-01-15 00:00:00+00:00,127
2024-01-20 00:00:00+00:00,128
2024-01-26 00:00:00+00:00,132
2024-01-30 00:00:00+00:00,133
2024-02-13 00:00:00+00:00,134
2024-02-19 00:00:00+00:00,135
2024-02-23 00:00:00+00:00,136
2024-03-23 00:00:00+00:00,137
2024-04-29 00:00:00+00:00,138
2024-05-07 00:00:00+00:00,139
2024-05-16 00:00:00+00:00,140
2024-06-09 00:00:00+00:00,141
2024-06-12 00:00:00+00:00,142
2024-06-14 00:00:00+00:00,143
2024-07-07 00:00:00+00:00,144
2024-07-12 00:00:00+00:00,145
2024-07-16 00:00:00+00:00,146
2024-07-18 00:00:00+00:00,147
2024-07-20 00:00:00+00:00,148
2024-07-23 00:00:00+00:00,149
2024-07-24 00:00:00+00:00,151
2024-07-27 00:00:00+00:00,152
2024-07-31 00:00:00+00:00,153
2024-08-01 00:00:00+00:00,154
2024-08-05 00:00:00+00:00,155
2024-08-06 00:00:00+00:00,156
2024-08-09 00:00:00+00:00,157
2024-08-15 00:00:00+00:00,158
2024-08-22 00:00:00+00:00,160
2024-08-23 00:00:00+00:00,161
2024-09-16 00:00:00+00:00,162
2024-10-12 00:00:00+00:00,163
2024-10-15 00:00:00+00:00,164
2024-10-30 00:00:00+00:00,165
2024-11-14 00:00:00+00:00,166
2024-11-17 00:00:00+00:00,167
2024-11-18 00:00:00+00:00,168
2024-11-19 00:00:00+00:00,169
2024-11-20 00:00:00+00:00,170
2024-11-21 00:00:00+00:00,171
2024-11-28 00:00:00+00:00,172
2024-12-02 00:00:00+00:00,173
2024-12-09 00:00:00+00:00,174
2024-12-11 00:00:00+00:00,176
2024-12-13 00:00:00+00:00,177
2024-12-18 00:00:00+00:00,178
2024-12-19 00:00:00+00:00,179
2024-12-23 00:00:00+00:00,180
2025-01-04 00:00:00+00:00,181
2025-01-08 00:00:00+00:00,182
2025-01-16 00:00:00+00:00,183
2025-01-26 00:00:00+00:00,184
2025-01-29 00:00:00+00:00,185
2025-02-03 00:00:00+00:00,186
2025-02-08 00:00:00+00:00,187
2025-02-10 00:00:00+00:00,188
2025-02-11 00:00:00+00:00,189
2025-02-13 00:00:00+00:00,190
2025-02-14 00:00:00+00:00,191
2025-03-08 00:00:00+00:00,192
2025-03-11 00:00:00+00:00,193
2025-03-28 00:00:00+00:00,194
2025-04-07 00:00:00+00:00,195
2025-04-14 00:00:00+00:00,196
2025-04-21 00:00:00+00:00,197
2025-04-23 00:00:00+00:00,198
2025-04-28 00:00:00+00:00,199
2025-05-09 00:00:00+00:00,200
2025-05-20 00:00:00+00:00,201
2025-05-22 00:00:00+00:00,202
2025-05-27 00:00:00+00:00,203
2025-06-05 00:00:00+00:00,204
2025-06-19 00:00:00+00:00,205
2025-06-26 00:00:00+00:00,206
2025-08-12 00:00:00+00:00,207
2025-08-17 00:00:00+00:00,208
2025-09-18 00:00:00+00:00,209
2025-10-07 00:00:00+00:00,210
2025-10-09 00:00:00+00:00,211
2025-10-18 00:00:00+00:00,212
2025-10-31 00:00:00+00:00,213
2025-11-15 00:00:00+00:00,214
2025-11-27 00:00:00+00:00,215
2025-12-05 00:00:00+00:00,216
2025-12-09 00:00:00+00:00,217
2025-12-27 00:00:00+00:00,218
2026-01-05 00:00:00+00:00,219
2026-02-04 00:00:00+00:00,221
